"word","phonetic","meaning","level","category","example","related_words","part_of_speech","root"
"new","/njuː/","新的；新近出现的","CET4","CET4","","","a",""
"newly","/ˈnjuːli/","新近，最近","CET4","CET4","","","ad",""
"news","/njuːz/","新闻，消息","CET4","CET4","","","n",""
"newspaper","/ˈnjuːspeipə/","报纸，报","CET4","CET4","","","n",""
"next","/nekst/","紧接的；贴近的","CET4","CET4","","","a",""
"nice","/nais/","美好的，令人愉快的","CET4","CET4","","","a",""
"nickel","/ˈnɪkəl/","镍 2. (AmE)五分硬币","CET6","CET6","","","n",""
"nickname","/ˈnɪkneɪm/","绰号，爱称","CET6","CET6","","","n",""
"niece","/niːs/","侄女，外甥女","CET4","CET4","","","n",""
"night","/nait/","夜，夜间","CET4","CET4","","","n",""
"nil","/nil/","无，全无，零","CET6","CET6","","","n",""
"nine","/nain/","九，九个","CET4","CET4","","","num",""
"nineteen","/ˈnainˈtiːn/","十九，十九个","CET4","CET4","","","num",""
"ninety","/ˈnainti/","九十，九十个","CET4","CET4","","","num",""
"ninth","/nainθ/","第九；九分之一","CET4","CET4","","","num",""
"nitrogen","/ˈnaitrədʒən/","氮","CET4","CET4","","","n",""
"no","/nəu/","不；并不 a.没有","CET4","CET4","","","ad",""
"noble","/ˈnəub(ə)l/","贵族的；高尚的","CET4","CET4","","","a",""
"nobody","/ˈnəubədi/","谁也不；无人","CET4","CET4","","","pron",""
"nod","/nɔd/","点(头)；点头表示","CET4","CET4","","","vt",""
"node","/noʊd/","节点","CET6","Technology","Each node in the network communicates with others.","point, station, terminal, hub","noun","拉丁语 nodus"
"noise","/nɔiz/","喧闹声；响声；噪声","CET4","CET4","","","n",""
"noisy","/ˈnɔizi/","嘈杂的；喧闹的","CET4","CET4","","","a",""
"nominal","/ˈnɒmɪnəl/","名义上的 2. 极小的，微薄的  3. 名词(性)的","CET6","CET6","","","adj",""
"nominate","/ˈnɒmɪneɪt/","提名 2. 任命 3. 命名","CET6","CET6","","","v",""
"none","/nʌn/","没有人 ad.毫不","CET4","CET4","","","pron",""
"nonetheless","/ˌnʌnðəˈles/","v. 尽管如此，然而","CET6","CET6","","","ad",""
"nonsense","/ˈnɔnsəns/","胡说，废话","CET4","CET4","","","n",""
"noon","/nuːn/","正午，中午","CET4","CET4","","","n",""
"nor","/nɔː/","也不；不","CET4","CET4","","","conj",""
"norm","/nɔːm/","标准，规范，准则 2. (工作量)定额","CET6","CET6","","","n",""
"normal","/ˈnɔːməl/","正常的，普通的","CET4","CET4","","","a",""
"normally","/ˈnɔːməli/","通常，正常地","CET4","CET4","","","ad",""
"north","/nɔːθ/","北，北方 a.北方的","CET4","CET4","","","n",""
"northeast","/ˈnɔːθˈiːst/","东北 a.位于东北的","CET4","CET4","","","n",""
"northern","/ˈnɔːðən/","北方的，北部的","CET4","CET4","","","a",""
"northwest","/ˈnɔːθˈwest/","西北 a.位于西北的","CET4","CET4","","","n",""
"nose","/nəuz/","鼻子；突出部分","CET4","CET4","","","n",""
"not","/nɔt/","不，没有","CET4","CET4","","","ad",""
"notable","/ˈnəʊtəbl/","值得注意的，显著的 notably","CET6","CET6","","","adj",""
"notation","/nəʊˈteɪʃən/","记号，标记法 2. 记录","CET6","CET6","","","n",""
"note","/nəut/","笔记；便条；注释","CET4","CET4","","","n",""
"notebook","/ˈnəutbuk/","笔记本，期票簿","CET4","CET4","","","n",""
"nothing","/ˈnʌθiŋ/","没有东西 ad.毫不","CET4","CET4","","","n",""
"notice","/ˈnəutis/","注意 n.通知；注意","CET4","CET4","","","vt",""
"noticeable","/ˈnəutisəbl/","显而易见/重要的","CET4","CET4","","","a",""
"notify","/ˈnəʊtɪfaɪ/","(正式)通知(某人)，告知","CET6","CET6","","","v",""
"notion","/ˈnəʊʃən/","概念，观念 2. 想法，见解 3. 打算，意图","CET6","CET6","","","n",""
"notorious","/nəʊˈtɔːrɪəs/","臭名昭著的，声名狼藉的","CET6","CET6","","","adj",""
"notwithstanding","/ˌnɒtwɪθˈstændɪŋ/","v. &prep. 尽管，还是","CET6","CET6","","","ad",""
"noun","/naun/","名词","CET4","CET4","","","n",""
"nourish","/ˈnʌrɪʃ/","滋养，养育 2. 怀有(希望，怨恨等)","CET6","CET6","","","v",""
"novel","/ˈnɔvəl/","小说 a.新的","CET4","CET4","","","n",""
"novelty","/ˈnɒvəltɪ/","新颖 2. 新颖的事物  3. 新颖而价廉的小物件","CET6","CET6","","","n",""
"november","/nəuˈvembə/","十一月","CET4","CET4","","","n",""
"now","/nau/","现在；立刻；于是","CET4","CET4","","","ad",""
"nowadays","/ˈnauədeiz/","现今，现在","CET4","CET4","","","ad",""
"nowhere","/ˈnəuhweə/","任何地方都不","CET4","CET4","","","ad",""
"nuclear","/ˈnjuːkliə/","原子核的；核心的","CET4","CET4","","","a",""
"nucleus","/ˈnuːkliəs/","核；核心","CET6","Science","The nucleus contains protons and neutrons.","core, center, heart, hub","noun","拉丁语 nucleus"
"nuisance","/ˈnjuːsns/","讨厌的东西","CET4","CET4","","","n",""
"number","/ˈnʌmbə/","数，数字；号码","CET4","CET4","","","n",""
"numerical","/njuːˈmerɪkəl/","数字(上)的，用数字表示的","CET6","CET6","","","adj",""
"numerous","/ˈnjuːmərəs/","大量的，为数众多的","CET6","CET6","","","adj",""
"nurse","/nəːs/","保姆；护士 vt.看护","CET4","CET4","","","n",""
"nursery","/ˈnəːsəri/","托儿所；苗圃","CET4","CET4","","","n",""
"nurture","/ˈnɜːtʃə/","养育，教育 2. 培育，扶植","CET6","CET6","","","v",""
"nut","/nʌt/","坚果，干果；螺母","CET4","CET4","","","n",""
"nutrition","/nuˈtrɪʃən/","营养","CET4","Science","Good nutrition is essential for health.","nourishment, food, diet, sustenance","noun","拉丁语 nutritio"
"nylon","/ˈnailən/","尼龙，耐纶","CET4","CET4","","","n",""
"oak","/əʊk/","橡树","CET6","CET6","","","n",""
"oar","/ɔə/","浆，橹","CET4","CET4","","","n",""
"oath","/əʊθ/","誓言 2. 辱骂 || on oath; under oath发誓说真话","CET6","CET6","","","n",""
"obedient","/əˈbiːdɪənt/","顺从的，顺从的，听话的","CET6","CET6","","","adj",""
"obey","/əuˈbei/","顺从 vi.服从","CET4","CET4","","","vt",""
"object","/ˈɔbdʒikt/","反对；抱反感","CET4","CET4","","","vi",""
"objection","/əbˈdʒekʃən/","反对，异议 2. 反对的理由","CET6","CET6","","","n",""
"objective","/əbˈdʒektiv/","客观的；无偏见的","CET4","CET4","","","a",""
"obligation","/ˌɒblɪˈɡeɪʃən/","责任，义务","CET6","CET6","","","n",""
"oblige","/əˈblaidʒ/","迫使；施恩惠于","CET4","CET4","","","vt",""
"obscene","/əbˈsiːn/","猥亵的，淫乱的","CET6","CET6","","","adj",""
"obscure","/əbˈskjʊə/","模糊的，不清楚的 2. 费解的 3. 不出名","CET6","CET6","","","adj",""
"observation","/ˌəbzəːˈvei∫ən/","注意；观察(力)","CET4","CET4","","","n",""
"observe","/əbˈzɜːrv/","观察","CET4","Science","Scientists observed the behavior of the cells.","watch, monitor, examine, study","verb","拉丁语 observare"
"observer","/əbˈzəːvə/","观察员，观测者","CET4","CET4","","","n",""
"obstacle","/ˈɒbstəkl/","障碍(物)，干扰","CET6","CET6","","","n",""
"obtain","/əbˈteɪn/","得到，获得","CET6","CET6","","","v",""
"obvious","/ˈɔbviəs/","明显的，显而易见的","CET4","CET4","","","a",""
"obviously","/ˈɔbviəsli/","明显地，显然地","CET4","CET4","","","ad",""
"occasion","/əˈkeiʒən/","场合，时刻；时机","CET4","CET4","","","n",""
"occasional","/əˈkeɪʒənəl/","偶尔的，不经常的","CET6","CET6","","","adj",""
"occasionally","/əˈkeiʒənəli/","偶然;非经常地","CET4","CET4","","","ad",""
"occupation","/ˌɒkjʊˈpeɪʃən/","职业 2. 消遣 3. 占有，占用，占领","CET6","CET6","","","n",""
"occupy","/ˈɒkjʊpaɪ/","占，占用 2. 占领，占据 3. 使忙碌，从事","CET6","CET6","","","v",""
"occur","/əˈkɜː/","发生，出现 || occur to(念头)出现(在某人的脑子里)，想到","CET6","CET6","","","v",""
"occurrence","/əˈkʌrəns/","发生，出现；事件","CET4","CET4","","","n",""
"ocean","/ˈəu∫ən/","海洋；洋","CET4","CET4","","","n",""
"oceania","/ˌəu∫iˈeiniə/","大洋洲","CET4","CET4","","","n",""
"october","/ɔkˈtəubə/","十月","CET4","CET4","","","n",""
"odd","/ɔd/","奇数的；单只的","CET4","CET4","","","a",""
"odor","/ˈәudә/","气味，香味 2. 名声 3. 意味","CET6","CET6","","","n",""
"odour","/ˈəudə/","气味，香气；味道","CET4","CET4","","","n",""
"of","/ɔːf/","...的；由于","CET4","CET4","","","prep",""
"off","/ɔːf/","(离)开；(停)止","CET4","CET4","","","ad",""
"offend","/əˈfend/","冒犯 vi.犯过错","CET4","CET4","","","vt",""
"offense","/әˈfens/","犯罪 2 冒犯，伤感情 3. 攻击","CET6","CET6","","","n",""
"offensive","/əˈfensɪv/","冒犯的 2. 进攻性的 3. 极讨厌的","CET6","CET6","","","adj",""
"offer","/ˈɔfə/","提供；提出 n.提供","CET4","CET4","","","vt",""
"office","/ˈɔfis/","办公室；处，局，社","CET4","CET4","","","n",""
"officer","/ˈɔfisə/","官员；干事；军官","CET4","CET4","","","n",""
"official","/əˈfi∫əl/","官员的；官方的","CET4","CET4","","","a",""
"offset","/ˈɒfset/","补偿，抵消","CET6","CET6","","","v",""
"offspring","/ˈɒfsprɪŋ/","子孙，后代 2. 结果，产物","CET6","CET6","","","n",""
"often","/ˈɔːfn/","经常，常常","CET4","CET4","","","ad",""
"oh","/əu/","嗬，哦，唉呀","CET4","CET4","","","int",""
"oil","/ɔil/","油；石油 vt.加油于","CET4","CET4","","","n",""
"okay","/əuˈkei/","(缩作 OK)a.&ad.对，好","CET4","CET4","","","",""
"old","/əuld/","老的；...岁的","CET4","CET4","","","a",""
"olive","/ˈɒlɪv/","橄榄 2. 橄榄绿","CET6","CET6","","","n",""
"omit","/əuˈmit/","省略，省去；遗漏","CET4","CET4","","","vt",""
"on","/ɔn/","在...上；在...旁","CET4","CET4","","","prep",""
"once","/wʌns/","一次；曾经 n.一次","CET4","CET4","","","ad",""
"one","/wʌn/","一 pron.一个人","CET4","CET4","","","num",""
"oneself","/wʌnˈself/","自己；亲自","CET4","CET4","","","pron",""
"onion","/ˈʌnjən/","洋葱，洋葱头","CET4","CET4","","","n",""
"only","/ˈəunli/","只，仅仅 a.唯一的","CET4","CET4","","","ad",""
"onto","/ˈɔntu/","到...上","CET4","CET4","","","prep",""
"opaque","/əʊˈpeɪk/","不透明的，意义不明确，晦涩的","CET6","CET6","","","adj",""
"open","/ˈəupən/","开的；开放的 vt.开","CET4","CET4","","","a",""
"opening","/ˈəupniŋ/","开始的 n.开始","CET4","CET4","","","a",""
"opera","/ˈɔpərə/","歌剧","CET4","CET4","","","n",""
"operate","/ˈɔpəreit/","操作；施行手术","CET4","CET4","","","vi",""
"operating","/ˈɑːpəreɪtɪŋ/","操作的；运营的","CET4","Technology","The operating system manages hardware resources.","system, OS, platform, environment","adj","拉丁语 operari"
"operation","/ˌɔpəˈrei∫ən/","操作；手术；运算","CET4","CET4","","","n",""
"operational","/ˌɔpəˈrei∫ənl/","操作上的；可使用的","CET4","CET4","","","a",""
"operator","/ˈɔpəreitə/","操作人员，接线员","CET4","CET4","","","n",""
"opinion","/əˈpinjən/","意见，看法，主张","CET4","CET4","","","n",""
"opponent","/əˈpəʊnənt/","对手，敌手 2. 反对者","CET6","CET6","","","n",""
"opportunity","/ˌɑːpərˈtuːnəti/","机会","CET4","General","This is a great learning opportunity.","chance, possibility, occasion, opening","noun","拉丁语 opportunus"
"oppose","/əˈpəʊz/","反对，反抗","CET6","CET6","","","v",""
"opposite","/ˈɔpəzit/","对面的 n.对立物","CET4","CET4","","","a",""
"oppress","/əˈpres/","压迫，压制 2. 压抑，使烦恼","CET6","CET6","","","v",""
"optical","/ˈɒptɪkəl/","视力的，视觉的 2. 光学的","CET6","CET6","","","adj",""
"optimism","/ˈɒptɪmɪzəm/","乐观，乐观主义","CET6","CET6","","","n",""
"optimistic","/ˌɒptɪmɪstɪk/","乐观的，乐观主义的","CET6","CET6","","","adj",""
"optimum","/ˈɒptɪməm/","最适宜的，最佳的","CET6","CET6","","","adj",""
"option","/ˈɒpʃən/","选择，选择权","CET6","CET6","","","n",""
"optional","/ˈɔp∫ənəl/","可以任意选择的","CET4","CET4","","","a",""
"or","/ɔː(r)/","或，或者；即","CET4","CET4","","","conj",""
"oral","/ˈɔːrəl/","口头的；口的","CET4","CET4","","","a",""
"orange","/ˈɔrindʒ/","橙(树)；柑(树)","CET4","CET4","","","n",""
"orbit","/ˈɔːbɪt/","轨道 2. (活动)范围","CET6","CET6","","","n",""
"orchestra","/ˈɔːkɪstrə/","交响乐团，管弦乐团","CET6","CET6","","","n",""
"order","/ˈɔːdə(r)/","次序；整齐 vt.命令","CET4","CET4","","","n",""
"orderly","/ˈɔːdəli/","整洁的；有秩序的","CET4","CET4","","","a",""
"ordinary","/ˈɔːdinəri/","平常的；平凡的","CET4","CET4","","","a",""
"ore","/ɔː/","矿石，矿砂","CET6","CET6","","","n",""
"organ","/ˈɔːgən/","器官；机构；管风琴","CET4","CET4","","","n",""
"organic","/ɔːrˈɡænɪk/","有机的","CET6","Science","Organic compounds contain carbon.","natural, biological, living, green","adj","希腊语 organikos"
"organism","/ˈɔːrɡənɪzəm/","有机体","CET6","Science","All living organisms are made of cells.","life form, creature, being, entity","noun","希腊语 organon"
"organization","/ˌɔːgənaiˈzei∫ən/","组织;团体,机构","CET4","CET4","","","n",""
"organize","/ˈɔːgənaiz/","组织，编组","CET4","CET4","","","vt",""
"orient","/ˈɔːrɪent/","使适应 2. 确定位置","CET6","CET6","","","v",""
"oriental","/ˌɔːrɪˈentəl/","东方的，来自东方的","CET6","CET6","","","adj",""
"orientation","/ˌɔːriənˈteɪʃən/","倾向性 2. 确定方位(方向)，熟悉，适应","CET6","CET6","","","n",""
"origin","/ˈɒrɪdʒɪn/","起源，开端 2. 血统，出身","CET6","CET6","","","n",""
"original","/əˈrɪdʒənəl/","最初的，最早的 2. 独特的，有创造性的 3. 非抄袭的，原作","CET6","CET6","","","adj",""
"originate","/əˈrɪdʒɪneɪt/","发源，创始，开始","CET6","CET6","","","v",""
"ornament","/ˈɔːnəmənt/","装饰品，饰物，装饰","CET6","CET6","","","n",""
"orphan","/ˈɔːfən/","孤儿","CET4","CET4","","","n",""
"orthodox","/ˈɔːθədɒks/","正统的，传统的","CET6","CET6","","","adj",""
"other","/ˈʌðə/","另外的；其余的","CET4","CET4","","","a",""
"otherwise","/ˈʌðəwaiz/","另外；要不然","CET4","CET4","","","ad",""
"ought","/ɔːt/","aux.应当，应该","CET4","CET4","","","v",""
"ounce","/auns/","盎司，英两","CET4","CET4","","","n",""
"our","/ˈauə/","我们的","CET4","CET4","","","pron",""
"ours","/ˈauəz/","我们的","CET4","CET4","","","pron",""
"ourselves","/ˌauəˈselvz/","我们自己","CET4","CET4","","","pron",""
"out","/aut/","出，在外；现出来","CET4","CET4","","","ad",""
"outbreak","/ˈaʊtbreɪk/","(指坏事)突然发生，爆发","CET6","CET6","","","n",""
"outcome","/ˈautkʌm/","结果，后果，成果","CET4","CET4","","","n",""
"outdoor","/ˈautdɔː/","户外的，室外的","CET4","CET4","","","a",""
"outdoors","/autˈdɔːz/","在户外，在野外","CET4","CET4","","","ad",""
"outer","/ˈautə/","外部的，外面的","CET4","CET4","","","a",""
"outfit","/ˈaʊtfɪt/","全套设 备或用具 2. 全套衣装","CET6","CET6","","","n",""
"outlet","/ˈautlet/","出口，出路；排遣","CET4","CET4","","","n",""
"outline","/ˈaʊtlaɪn/","轮廓 2. 提纲，要点概括","CET6","CET6","","","n",""
"outlook","/ˈautluk/","观点，看法；展望","CET4","CET4","","","n",""
"output","/ˈaʊtpʊt/","输出","CET4","Technology","The program produces output in JSON format.","result, production, yield, data","noun","out + put"
"outrage","/ˈaʊtreɪdʒ/","暴行，残暴 2. (暴行激起的)义愤","CET6","CET6","","","n",""
"outset","/ˈaʊtset/","开始，开端","CET6","CET6","","","n",""
"outside","/ˈautˈsaid/","外部；外表 a.外部的","CET4","CET4","","","n",""
"outskirt","/ˈautskəːt/","外边，郊区","CET4","CET4","","","n",""
"outstanding","/autˈstændiŋ/","突出的，杰出的","CET4","CET4","","","a",""
"outward","/ˈaʊtwəd/","向外的，外出的 2. 表面上的，外表上的 3. 向海外的 adv. 向外，在外","CET6","CET6","","","adj",""
"outwards","/ˈautwədz/","向外，往海外","CET4","CET4","","","ad",""
"oven","/ˈʌvən/","炉，灶；烘箱","CET4","CET4","","","n",""
"over","/ˈəuvə/","在...上方；超过","CET4","CET4","","","prep",""
"overall","/ˈəuvərɔːl/","工装裤 a.全面的","CET4","CET4","","","n",""
"overcoat","/ˈəuvəkəut/","外衣，大衣","CET4","CET4","","","n",""
"overcome","/ˌəʊvəˈkʌm/","战胜，克服 2. 制服，压倒","CET6","CET6","","","v",""
"overflow","/ˌəʊvəˈfləʊ/","(使)溢出，(使)泛滥，涌出","CET6","CET6","","","v",""
"overhead","/ˈəʊvəhed/","&adv. 在头顶上(的)，在上面(的)","CET6","CET6","","","adj",""
"overhear","/ˌəʊvəˈhɪə/","无意中听到，偶然听到 2. 偷听，窃听","CET6","CET6","","","v",""
"overlap","/ˌəʊvəˈlæp/","部分重叠，交搭","CET6","CET6","","","v",""
"overlook","/ˌəʊvəˈlʊk/","眺望，俯瞰 2. 忽略，没注意到 3. 宽容，不追究","CET6","CET6","","","v",""
"overnight","/ˈəuvəˈnait/","一夜；突然","CET4","CET4","","","ad",""
"overpass","/ˈәuvәpɑːs/","天桥，立交桥","CET6","CET6","","","n",""
"overseas","/ˈəuvəˈsiːz/","海外 a.在海外的","CET4","CET4","","","ad",""
"overt","/ˈəʊvɜːt/","公开的，明显的","CET6","CET6","","","adj",""
"overtake","/ˈəuvəˈteik/","追上，赶上；压倒","CET4","CET4","","","vt",""
"overthrow","/ˌəʊvəˈθrəʊ/","&n. 推倒，颠覆","CET6","CET6","","","v",""
"overtime","/ˈəuvətaim/","超时的，加班的","CET4","CET4","","","a",""
"overturn","/ˌəʊvəˈtɜːn/","翻倒，打翻 2. 推翻，颠覆","CET6","CET6","","","v",""
"overwhelm","/ˌəʊvəˈwelm/","战胜，压倒，克服 2. (指感情)压倒，控制","CET6","CET6","","","v",""
"overwhelming","/ˌəʊvəˈwelmɪŋ/","压倒一切的，无法抗拒的","CET6","CET6","","","adj",""
"owe","/əʊ/","欠 2. 把...归功于","CET6","CET6","","","v",""
"owl","/aʊl/","猫头鹰","CET6","CET6","","","n",""
"own","/əun/","自己的 vt.有，拥有","CET4","CET4","","","a",""
"owner","/ˈəunə/","物主，所有人","CET4","CET4","","","n",""
"ownership","/ˈəunə∫ip/","所有(权)，所有制","CET4","CET4","","","n",""
"ox","/ɔks/","牛；公牛，阉牛","CET4","CET4","","","n",""
"oxide","/ˈɒksaɪd/","氧化物","CET6","CET6","","","n",""
"oxygen","/ˈɒksɪdʒən/","氧气","CET6","CET6","","","n",""
"ozone","/ˈəʊzəʊn/","臭氧","CET6","CET6","","","n",""
"pace","/peis/","步，步速 vi.踱步","CET4","CET4","","","n",""
"pacific","/pəˈsifik/","和平的 n.太平洋","CET4","CET4","","","a",""
"pack","/pæk/","捆扎；挤满 n.包","CET4","CET4","","","vt",""
"package","/ˈpækɪdʒ/","包，包裹 2. 一整套","CET6","CET6","","","n",""
"packet","/ˈpækɪt/","数据包","CET6","Technology","Network packets travel across the internet.","data unit, frame, segment, bundle","noun","古法语 pacquet"
"pact","/pækt/","契约，公约，条约","CET6","CET6","","","n",""
"pad","/pæd/","垫；本子 vt.填塞","CET4","CET4","","","n",""
"page","/peidʒ/","页","CET4","CET4","","","n",""
"pail","/peil/","桶，提桶","CET4","CET4","","","n",""
"pain","/pein/","痛，疼痛；辛苦","CET4","CET4","","","n",""
"painful","/ˈpeinful/","使痛的；费力的","CET4","CET4","","","a",""
"paint","/peint/","画；油漆 vi.绘画","CET4","CET4","","","vt",""
"painter","/ˈpeintə/","漆工，画家，绘画者","CET4","CET4","","","n",""
"painting","/ˈpeintiŋ/","油画；绘画；着色","CET4","CET4","","","n",""
"pair","/peə/","一对 vi.成对，配对","CET4","CET4","","","n",""
"palace","/ˈpælis/","宫，宫殿","CET4","CET4","","","n",""
"pale","/peil/","苍白的；浅的","CET4","CET4","","","a",""
"palm","/pɑːm/","手掌，手心；掌状物","CET4","CET4","","","n",""
"pamphlet","/ˌpænəˈsɪə/","小册子","CET6","CET6","","","n",""
"pan","/pæn/","平底锅，盘子","CET4","CET4","","","n",""
"panda","/ˈpændə/","小猫熊；猫熊","CET4","CET4","","","n",""
"pane","/pein/","窗格玻璃","CET4","CET4","","","n",""
"panel","/ˈpænl/","专门小组；面，板","CET4","CET4","","","n",""
"panic","/ˈpænɪk/","恐慌，惊惶","CET6","CET6","","","n",""
"pant","/pænt/","气喘；心跳","CET4","CET4","","","n",""
"paper","/ˈpeipə/","纸；官方文件；文章","CET4","CET4","","","n",""
"paperback","/ˈpeipәbæk/","平装本，纸面本","CET6","CET6","","","n",""
"parade","/pəˈreid/","游行；检阅 vi.游行","CET4","CET4","","","n",""
"paradigm","/ˈpærədaɪm/","范式；典范","TOEFL","TOEFL","The discovery created a new scientific paradigm.","model, pattern, example, framework","noun","希腊语 paradeigma"
"paradise","/ˈpærədaɪs/","天堂，乐园","CET6","CET6","","","n",""
"paradox","/ˈpærədɒks/","自相矛盾的事物(思想、言论等)","CET6","CET6","","","n",""
"paragraph","/pærəɡræɑːf/","段，段落","CET6","CET6","","","n",""
"parallel","/ˈpærəlel/","平行的 2. 同类的，相似的","CET6","CET6","","","adj",""
"paralyze","/ˈpærәlaiz/","瘫痪，使麻痹","CET6","CET6","","","vt",""
"parameter","/pəˈræmɪtə/","(数学)参数，(事物的)限定性因素","CET6","CET6","","","n",""
"parasite","/ˈpærəsaɪt/","寄生虫，寄生植物 2. 食客，靠他人供养的人","CET6","CET6","","","n",""
"parcel","/ˈpɑːsl/","包裹，小包，邮包","CET4","CET4","","","n",""
"pardon","/ˈpɑːdn/","原谅；赦免 vt.原谅","CET4","CET4","","","n",""
"parent","/ˈpeərənt/","父亲，母亲，双亲","CET4","CET4","","","n",""
"park","/pɑːk/","公园；停车场","CET4","CET4","","","n",""
"parliament","/ˈpɑːləmənt/","议会，国会","CET4","CET4","","","n",""
"part","/pɑːt/","一部分；零件；本份","CET4","CET4","","","n",""
"partial","/ˈpɑːʃəl/","部分的，局部的 2. 偏袒的，不公正的","CET6","CET6","","","adj",""
"partially","/ˈpɑː∫əli/","部分地","CET4","CET4","","","ad",""
"participant","/pɑːˈtɪsɪpənt/","参与者，参加者","CET6","CET6","","","n",""
"participate","/pɑːˈtisipeit/","参与/加；分享","CET4","CET4","","","vi",""
"particle","/ˈpɑːtikl/","粒子，微粒","CET4","CET4","","","n",""
"particular","/pəˈtikjulə/","特殊的；特定的","CET4","CET4","","","a",""
"particularly","/pəˈtikjuləli/","特别,尤其,格外","CET4","CET4","","","ad",""
"partition","/pɑːˈtɪʃən/","分裂，分割 2. 分隔，隔开","CET6","CET6","","","v",""
"partly","/ˈpɑːtli/","部分地，不完全地","CET4","CET4","","","ad",""
"partner","/ˈpɑːtnə/","伙伴；搭挡；配偶","CET4","CET4","","","n",""
"party","/ˈpɑːti/","党，党派；聚会","CET4","CET4","","","n",""
"pass","/pɑːs/","经过；通过；度过","CET4","CET4","","","vt",""
"passage","/ˈpæsidʒ/","通过；通路，通道","CET4","CET4","","","n",""
"passenger","/ˈpæsindʒə/","乘客,旅客,过路人","CET4","CET4","","","n",""
"passion","/ˈpæʃən/","激情，热情 2. 强烈爱好","CET6","CET6","","","n",""
"passive","/ˈpæsɪv/","被动的，消极的 2. 被动语态的","CET6","CET6","","","adj",""
"passport","/ˈpɑːspɔːt/","护照","CET4","CET4","","","n",""
"past","/pɑːst/","过去的 n.过去","CET4","CET4","","","a",""
"paste","/peist/","糊，酱；浆湖","CET4","CET4","","","n",""
"pastime","/ˈpɑːstaɪm/","消遣，娱乐","CET6","CET6","","","n",""
"pastry","/ˈpeɪstrɪ/","糕点，酥皮点心","CET6","CET6","","","n",""
"pasture","/ˈpɑːstʃə/","牧场，牧草，放牧","CET6","CET6","","","n",""
"pat","/pæt/","&vt.&n.轻拍","CET4","CET4","","","n",""
"patch","/pætʃ/","补丁","CET4","Cybersecurity","The security patch fixes the vulnerability.","update, fix, upgrade, hotfix","noun/verb","古英语 pecc"
"patent","/ˈpeɪtənt/","专利;专利权，专利证书","CET6","CET6","","","n",""
"path","/pɑːθ/","路，小道；道路","CET4","CET4","","","n",""
"pathetic","/pəˈθetɪk/","招人怜悯的，悲惨的 2. 感伤的，感情(上)的 3. 令人生厌的","CET6","CET6","","","adj",""
"patience","/ˈpei∫əns/","忍耐，容忍，耐心","CET4","CET4","","","n",""
"patient","/ˈpei∫ənt/","忍耐的 n.病人","CET4","CET4","","","a",""
"patriot","/ˈpætrɪət/","爱国者，爱国主义者","CET6","CET6","","","n",""
"patriotic","/ˌpætrɪˈɒtɪk/","爱国的，有爱国热忱的","CET6","CET6","","","adj",""
"patrol","/pəˈtrəʊl/","巡逻 2. 巡逻队，巡逻兵","CET6","CET6","","","n",""
"patron","/ˈpeɪtrən/","赞助人，资助人 2. 老顾客，主顾","CET6","CET6","","","n",""
"pattern","/ˈpætn/","图案，花样 2. 方式，模式","CET6","CET6","","","n",""
"pause","/pɔːz/","&vi.中止，暂停","CET4","CET4","","","n",""
"pave","/peɪv/","筑(路)，铺(路) || pave the way for为...铺平道路","CET6","CET6","","","v",""
"pavement","/ˈpeivmənt/","(英)人行道","CET4","CET4","","","n",""
"paw","/pɔː/","脚爪，爪子","CET4","CET4","","","n",""
"pay","/pei/","支付；付给；给予","CET4","CET4","","","vt",""
"payment","/ˈpeimənt/","支付，支付的款项","CET4","CET4","","","n",""
"pea","/piː/","豌豆；豌豆属植物","CET4","CET4","","","n",""
"peace","/piːs/","和平；和睦；平静","CET4","CET4","","","n",""
"peaceful","/ˈpiːsful/","和平的；安静的","CET4","CET4","","","a",""
"peach","/piːt∫/","桃子，桃树","CET4","CET4","","","n",""
"peak","/piːk/","巅峰，最高点 2. 山顶","CET6","CET6","","","n",""
"pear","/peə/","梨子，梨树","CET4","CET4","","","n",""
"pearl","/pɜːl/","珍珠 2. 珍珠色 3. 珍品","CET6","CET6","","","n",""
"peasant","/ˈpezənt/","农民","CET4","CET4","","","n",""
"pebble","/ˈpebl/","卵石，细砾","CET4","CET4","","","n",""
"peculiar","/pɪˈkjuːlɪə/","奇怪的，怪癖的 2. 独特的，特有的","CET6","CET6","","","adj",""
"pedal","/ˈpedəl/","踏板","CET6","CET6","","","n",""
"pedestrian","/pɪˈdestrɪən/","行人","CET6","CET6","","","n",""
"peel","/piːl/","去掉...的皮，剥落","CET6","CET6","","","v",""
"peep","/piːp/","(从缝隙中)偷看","CET4","CET4","","","vi",""
"peg","/peɡ/","木栓，楔子，桩钉","CET6","CET6","","","n",""
"pen","/pen/","钢笔，自来水笔","CET4","CET4","","","n",""
"penalty","/ˈpenəltɪ/","惩罚，刑罚，罚款","CET6","CET6","","","n",""
"pencil","/ˈpensl/","铅笔","CET4","CET4","","","n",""
"pendulum","/ˈpendjʊləm/","摆，钟摆 2. 摇摆不定的事态","CET6","CET6","","","n",""
"penetrate","/ˈpenitreit/","穿过 vi.穿入","CET4","CET4","","","vt",""
"penetration","/ˌpenɪˈtreɪʃən/","渗透","CET6","Cybersecurity","Penetration testing reveals security weaknesses.","test, assessment, breach, intrusion","noun","拉丁语 penetrare"
